"dil","sayfa","sira","kaydirma_y","dosya","genislik","yukseklik"
"tr","erweka.html","1","0","tr/erweka/01-kaydirma-y00000.png","1440","1000"
"tr","erweka.html","2","900","tr/erweka/02-kaydirma-y00900.png","1440","1000"
"tr","erweka.html","3","1553","tr/erweka/03-kaydirma-y01553.png","1440","1000"
"tr","gda-p.html","1","0","tr/gda-p/01-kaydirma-y00000.png","1440","1000"
"tr","gda-p.html","2","900","tr/gda-p/02-kaydirma-y00900.png","1440","1000"
"tr","gda-p.html","3","1023","tr/gda-p/03-kaydirma-y01023.png","1440","1000"
"tr","haber.html","1","0","tr/haber/01-kaydirma-y00000.png","1440","1000"
"tr","haber.html","2","643","tr/haber/02-kaydirma-y00643.png","1440","1000"
"tr","hemostatik.html","1","0","tr/hemostatik/01-kaydirma-y00000.png","1440","1000"
"tr","hemostatik.html","2","900","tr/hemostatik/02-kaydirma-y00900.png","1440","1000"
"tr","hemostatik.html","3","1227","tr/hemostatik/03-kaydirma-y01227.png","1440","1000"
"tr","ifak.html","1","0","tr/ifak/01-kaydirma-y00000.png","1440","1000"
"tr","ifak.html","2","900","tr/ifak/02-kaydirma-y00900.png","1440","1000"
"tr","ifak.html","3","931","tr/ifak/03-kaydirma-y00931.png","1440","1000"
"tr","iletisim.html","1","0","tr/iletisim/01-kaydirma-y00000.png","1440","1000"
"tr","iletisim.html","2","340","tr/iletisim/02-kaydirma-y00340.png","1440","1000"
"tr","ilkyardim-cantasi.html","1","0","tr/ilkyardim-cantasi/01-kaydirma-y00000.png","1440","1000"
"tr","ilkyardim-cantasi.html","2","900","tr/ilkyardim-cantasi/02-kaydirma-y00900.png","1440","1000"
"tr","ilkyardim-cantasi.html","3","931","tr/ilkyardim-cantasi/03-kaydirma-y00931.png","1440","1000"
"tr","index.html","1","0","tr/index/01-kaydirma-y00000.png","1440","1000"
"tr","index.html","2","900","tr/index/02-kaydirma-y00900.png","1440","1000"
"tr","index.html","3","1800","tr/index/03-kaydirma-y01800.png","1440","1000"
"tr","index.html","4","2700","tr/index/04-kaydirma-y02700.png","1440","1000"
"tr","index.html","5","3600","tr/index/05-kaydirma-y03600.png","1440","1000"
"tr","index.html","6","4500","tr/index/06-kaydirma-y04500.png","1440","1000"
"tr","index.html","7","5400","tr/index/07-kaydirma-y05400.png","1440","1000"
"tr","index.html","8","5522","tr/index/08-kaydirma-y05522.png","1440","1000"
"tr","kan-durdurucu.html","1","0","tr/kan-durdurucu/01-kaydirma-y00000.png","1440","1000"
"tr","kan-durdurucu.html","2","886","tr/kan-durdurucu/02-kaydirma-y00886.png","1440","1000"
"tr","kbrn-ilkyardim.html","1","0","tr/kbrn-ilkyardim/01-kaydirma-y00000.png","1440","1000"
"tr","kbrn-ilkyardim.html","2","900","tr/kbrn-ilkyardim/02-kaydirma-y00900.png","1440","1000"
"tr","kbrn-ilkyardim.html","3","1800","tr/kbrn-ilkyardim/03-kaydirma-y01800.png","1440","1000"
"tr","kbrn-ilkyardim.html","4","2700","tr/kbrn-ilkyardim/04-kaydirma-y02700.png","1440","1000"
"tr","kbrn-ilkyardim.html","5","3600","tr/kbrn-ilkyardim/05-kaydirma-y03600.png","1440","1000"
"tr","kbrn-ilkyardim.html","6","4500","tr/kbrn-ilkyardim/06-kaydirma-y04500.png","1440","1000"
"tr","kbrn-ilkyardim.html","7","5400","tr/kbrn-ilkyardim/07-kaydirma-y05400.png","1440","1000"
"tr","kbrn-ilkyardim.html","8","6113","tr/kbrn-ilkyardim/08-kaydirma-y06113.png","1440","1000"
"tr","kbrn-nbc.html","1","0","tr/kbrn-nbc/01-kaydirma-y00000.png","1440","1000"
"tr","kbrn-nbc.html","2","900","tr/kbrn-nbc/02-kaydirma-y00900.png","1440","1000"
"tr","kbrn-nbc.html","3","907","tr/kbrn-nbc/03-kaydirma-y00907.png","1440","1000"
